,Category,Message,Number of exclamations,Question Marks,words,STOP WORDS,NUMBER OF STOP WORDS,DATE,ORG,CARDINAL,LOC,GPE,EVENT,MONEY,number of dates,number of Cardinals,number of financial Terms,number of Times,ADJECTIVES,Number of ADJECTIVES,INTERJECTION,Number of INTERJECTION,NOUNS,Number of NOUNS,Verbs,Number of Verbs,WHwords,Number of WHwords,Foreign word,Number of Foreign word,Foreign Word,Number of digits
297,spam,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",0,0,24,"['can', 'of', 'the', 'to']",4,0,0,0,0,0,0,0,2,1,1,0,[],0,[],0,"['U', '£100', 'Music', 'Gift', 'Vouchers', 'week', 'NOW', 'Txt', 'word', 'DRAW', 'TsCs', 'www.Idew.com', 'SkillGame', 'age16']",14,"['WIN', 'starting']",2,[],0,[],0,,14
298,spam,#ERROR!,1,0,1,[],0,0,0,0,0,0,0,0,0,0,0,0,[],0,[],0,['ERROR'],1,[],0,[],0,[],0,,0
299,spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,0,0,22,"['is', 'for', 'out']",3,0,0,0,0,0,0,0,0,2,0,0,[],0,[],0,"['B4U', 'voucher', 'w/c', 'MARSMS', 'Log', 'www.B4Utele.com', 'discount', 'credit', 'Customer', 'care', 'call']",11,"['is', 'opt', 'stop']",3,[],0,[],0,,17
300,spam,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,1,0,29,"['and', 'to', 'my', 'a', 'to']",5,0,0,0,0,0,0,0,0,1,0,0,['msg'],1,[],0,"['FreeMsg', 'Hey', 'Buffy', 'men', 'Home', 'randy', 'C', 'PIX', 'QlynnBV', 'Help08700621170150p', 'Send', 'stop', 'txts']",13,"[""'m"", 'love', 'satisfy', 'feeling', 'Reply', 'stop']",6,[],0,[],0,,17
301,spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",1,0,29,"['a', 'to', 'on']",3,0,0,0,0,0,0,0,1,1,0,0,"['ur', 'holiday', 'stamped']",3,[],0,"['Sunshine', 'Hols', 'self', 'address', 'envelope', 'Us', 'UK', 'PO', 'Box', 'Bray', 'Wicklow', 'Eire', 'Quiz', 'Starts', 'Saturday', 'Unsub', 'Stop']",17,"['claim', 'med', 'send', 'Drinks']",4,[],0,[],0,,3
302,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+,1,0,29,"['for', 'just', 'to', 'and']",4,0,0,0,0,0,0,0,1,3,0,0,"['ur', 'ur']",2,[],0,"['FREE', 'week', 'No1', 'Nokia', 'mob', 'week', 'NOKIA', 'Get', 'txting', 'mates', 'POBox', 'W45WQ']",12,"['tone', 'tell', 'zed']",3,[],0,[],0,,20
303,spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",0,0,28,"['or', 'now']",2,0,0,0,0,0,0,0,1,3,1,0,['u'],1,[],0,"['Shop', 'till', 'Drop', 'IT', 'YOU', 'Cash', '£100', 'Travel', 'voucher', 'Call', 'NTT', 'PO', 'Box', 'CR01327BT', 'fixedline', 'Cost', 'mobile', 'vary']",18,['IS'],1,[],0,[],0,,28
304,spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,0,0,24,"['with', 'from', 'with', 'or']",4,0,0,0,0,0,0,0,2,2,0,0,"['FREE', 'linerental', 'bundle', 'avble']",4,[],0,"['camera', 'phones', 'cross', 'ntwk', 'mins', 'price', 'txt', 'deals', 'MF']",9,"['Call', 'call2optout/J']",2,[],0,[],0,,20
305,spam,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",4,0,26,"['won', 'a', 'on', 'this', 'is', 'the', 'to']",7,0,0,0,0,0,0,0,0,1,1,0,"['mobile', '07xxxxxxxxx', '2nd']",3,[],0,"['URGENT', '£2,000', 'bonus', 'caller', 'prize', 'attempt', 'ASAP', 'BOX97N7QP']",8,"['won', 'is', 'reach', 'call']",4,[],0,[],0,,30
306,spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",2,0,23,"['or', 's']",2,0,0,0,0,0,0,0,1,1,1,0,"['*', 'await']",2,[],0,"['URGENT', 'Costa', 'Del', 'Sol', 'Holiday', 'collection', 'toClaim', 'SAE', 'TC', 's', 'POBox334', 'Stockport', 'SK38xh', 'Cost£1.50/pm', 'Max10mins']",15,['Call'],1,[],0,[],0,,26
307,spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,0,0,26,"['have', 'a', 'or', 'a', 'our', 'on', 'between']",7,0,0,0,0,0,0,0,3,0,1,0,"['guaranteed', 'yr', '10am-7pm']",3,[],0,"['cash', 'prize', 'customer', 'service', 'representative', 'Cost']",6,"['have', 'WON', 'claim', 'prize', 'call']",5,[],0,[],0,,24
308,spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120",0,0,25,"['for', 'your', 'will', 'be', 'your', 'not', 'on']",7,0,0,0,0,0,0,0,0,1,1,0,['arrive'],1,[],0,"['Thanks', 'ringtone', 'order', 'number', 'K718', 'mobile', '£4.50', 'tone', 'please', 'customer', 'services']",11,"['ref', 'be', 'charged', 'call']",4,[],0,[],0,,17
309,spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",1,1,31,"['me', 'this', 'is', 'a', 'no', 'if', 'you', 'you', 'further']",9,0,0,0,0,0,0,0,0,1,0,0,"['u', 'smart', 'regular', 'further', 'Other']",5,[],0,"['Hi', 'x', 'scammers', '..', 'Though', 'vodafone', 'prem', 'rate', 'msg/subscription', 'nos', 'Beware']",11,"['babe', 'getting', 'is', 'respond', 'get', 'used']",6,[],0,[],0,,1
310,spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,1,1,29,"['over', 'me', 'some', 'have']",4,0,0,0,0,0,0,0,0,4,1,0,"['half', 'sexy']",2,[],0,"['work', 'term', 'U', 'C', 'passion', 'B4', 'Chat', 'NOW', 'Luv', 'DENA', 'Calls', '£1/minMobsmoreLKPOBOX177HP51FL']",12,"['have', 'go']",2,[],0,[],0,,23
311,spam,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",0,0,25,"['for', 'your', 'will', 'be', 'your', 'not', 'on']",7,0,0,0,0,0,0,0,0,1,1,0,['arrive'],1,[],0,"['Thanks', 'ringtone', 'order', 'number', 'R836', 'mobile', '£4.50', 'tone', 'please', 'customer', 'services']",11,"['ref', 'be', 'charged', 'call']",4,[],0,[],0,,17
312,spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,1,0,28,"['from', 'of', 'each', 'is', 'a', 'with', 'have', 'and']",8,0,0,0,0,0,0,0,1,1,0,0,['weekly'],1,[],0,"['SplashMobile', 'Choose', 'gr8', 'tones', 'wk', 'subscrition', 'service', 'tones', 'U', 'credit', 'kick', 'ENJOY']",12,"['is', 'costing', 'have']",3,[],0,[],0,,8
313,spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,0,0,33,"['from', 'a', 'while', 'to', 'of', 'me', 'then', 'to']",8,0,0,0,0,0,0,0,0,2,0,0,"['private', 'shagged']",2,[],0,"['U4', 'while', 'rude', 'chat', 'line', 'Wan', 'pics', 'PIX', 'send', 'STOP', 'SAM', 'xxx']",12,"['heard', 'Call', 'cum', 'gettin']",4,[],0,[],0,,23
314,spam,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,0,0,20,"['from', 'into', 'our', 'just', 'the', 'to']",6,0,0,0,0,0,0,0,2,1,0,0,"['FREE', '£250', 'weekly']",3,[],0,"['<', '>', 'entry', 'comp', 'word', 'ENTER', 'NOW', 'T', 'C', 'www.textcomp.com']",10,"['Forwarded', 'send']",2,[],0,[],0,,15
315,spam,88066 FROM 88066 LOST 3POUND HELP,0,0,6,[],0,0,0,0,0,0,0,0,0,0,0,0,[],0,[],0,"['FROM', 'LOST', 'HELP']",3,[],0,[],0,[],0,,11
316,spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,0,1,26,"['your', 'for', 'to', 'on', 'or']",5,0,0,0,0,0,0,0,2,0,0,0,"['mobile', 'latest', 'unlimited']",3,[],0,"['Had', '11mths', 'Update', 'FREE', 'Oranges', 'colour', 'camera', 'weekend', 'Mobile', 'Upd8', 'freefone']",11,"['mobiles', 'calls', 'Call']",3,[],0,[],0,,15
317,spam,You have 1 new message. Please call 08718738034.,0,0,8,['have'],1,0,0,0,0,0,0,0,1,1,0,0,"['new', 'call']",2,[],0,"['message', 'Please']",2,['have'],1,[],0,[],0,,12
318,spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,0,0,30,"['from', 'this', 'is', 'your', 'have', 'have', 'on', 'to', 'your', 'and']",10,0,0,0,0,0,0,0,1,2,0,0,[],0,[],0,"['<', '>', 'Hi', 'Mailbox', 'Messaging', 'SMS', 'alert', 'messages', 'matches', 'Please', 'messages', 'matches']",12,"['Forwarded', 'is', 'have', 'have', 'call', 'retrieve']",6,[],0,[],0,,22
319,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",4,0,27,"['for', 'is', 'yours', 'now', 'all', 'out']",6,0,0,0,0,0,0,0,1,0,0,0,"['special', 'FREE']",2,[],0,"['Congrats', 'year', 'cinema', 'pass', 'C', 'Suprman', 'V', 'Matrix3', 'StarWars3', 'bx420-ip4-5we', 'Dont']",11,"['is', 'yours', 'call', 'miss']",4,[],0,[],0,,24
320,spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,0,0,26,"['a', 'of', 'a', 'of', 'our', 'to']",6,0,0,0,0,0,0,0,1,1,2,0,"['ur', '£100']",2,[],0,"['year', 'supply', 'CDs', 'store', 'choice', '£500', 'Weekly', 'draw', 'txt', 'MUSIC', 'Ts', 'Cs', 'www.Ldew.com.subs16+1win150ppmx3']",13,"['WIN', 'enter']",2,[],0,[],0,,19
321,spam,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow,0,1,30,"['a', 'if', 'who', 'the', 'of', 'will', 'be', 'her', 'to']",9,0,0,0,0,0,0,0,0,1,1,0,"['u', 'new', 'first']",3,[],0,"['Moby', 'Pub', 'Quiz.Win', '£100', 'High', 'Street', 'Duchess', 'Cornwall', 'Txt', 'name', 'STOP', '£1.50', 'SP', 'Arrow']",14,"['prize', 'know', 'be']",3,['who'],1,['who'],1,,23
322,spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,0,0,28,"['have', 'won', 'a', 'is', 'what', 'you', 'when', 'you', 'our', 'to', 'now']",11,0,0,0,0,0,0,0,1,0,0,0,"['FREE', 'Row/W1JHL']",2,[],0,"['Nokia', 'auction', 'part', 'Nokia']",4,"['have', 'won', 'is', 'get', 'win', 'take', 'send', 'HG/Suite342/2Lands']",8,['what'],1,['what'],1,,16
323,spam,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",2,0,26,"['to', 'a', 'have', 'the', 'is', 'just']",6,0,0,0,0,0,0,0,2,1,0,0,"['good', 'easy']",2,[],0,"['Congratulations', 'Thanks', 'friend', 'U', 'WON', '£2,000', 'Xmas', 'prize', 'claim', 'NOW', 'minute', 'BT-national-rate']",12,"['have', 'is', 'call']",3,[],0,[],0,,18
324,spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",0,0,15,"['from', 'of', 'with']",3,0,0,0,0,0,0,0,0,1,0,0,"['More', 'great']",2,[],0,"['tddnewsletter', '@', 'emc1.co.uk', 'games', 'TheDailyDraw', 'Dear', 'Helen', 'Dozens', 'Free', 'Games', 'prizesWith', '..']",12,[],0,[],0,[],0,,1
325,spam,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",4,0,27,"['a', 'on', 'is', 'the', 'to', 'you']",6,0,0,0,0,0,0,0,1,3,1,0,"['mobile', '2nd']",2,[],0,"['URGENT', 'number', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '£2000', 'Bonus', 'Caller', 'prize', 'attempt', 'ASAP', 'Box']",24,"['WON', 'is', 'reach', 'Call']",4,[],0,[],0,,28
326,spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,0,0,24,"['your', 'on', 'or', 'and', 'with', 'on']",6,0,0,0,0,0,0,0,2,1,0,0,['linerental'],1,[],0,"['mins', 'txts', 'Orange', 'price', 'Motorola', 'SonyEricsson', 'B/Tooth', 'FREE-Nokia', 'FREE', 'Call', 'MobileUpd8', 'or2optout/HV9D']",12,[],0,[],0,[],0,,16
327,spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3",0,0,24,"['as', 'as', 'no', 'can', 'to']",5,0,0,0,0,0,0,0,1,0,0,0,"['many', 'u']",2,[],0,"['Download', 'ringtones', 'restrictions', 'choose', 'U', 'yr', 'buddys', 'Txt', 'Sir', '£3']",10,['send'],1,[],0,[],0,,12
328,spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,0,0,13,"['as', 'there', 'is', 'an', 'for', 'you']",6,0,0,0,0,0,0,0,0,0,0,0,['urgent'],1,[],0,"['CALL', 'message']",2,"['Please', 'is', 'waiting']",3,[],0,[],0,,11
329,spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",0,0,28,"['up', 'your', 'with', 'a', 'of', 'a', 'a', 'to']",8,0,0,0,0,0,0,0,3,0,0,0,['free'],1,[],0,"['Spook', 'mob', 'Halloween', 'collection', 'logo', 'pic', 'message', 'eerie', 'tone', 'CARD', 'SPOOK', 'logo/pic']",12,['txt'],1,[],0,[],0,,18
330,spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",1,0,30,"['is', 'on', 'your', 'to', 'on', 'and', 'on', 'so', 'now', 'to']",10,0,0,0,0,0,0,0,2,0,0,0,[],0,[],0,"['Fantasy', 'Football', 'TV', 'Sky', 'Gamestar', 'Sky', 'Active', '£250k', 'Dream', 'Team', 'starts', 'Saturday', 'SKY', 'OPT', 'OUT']",15,"['is', 'Go', 'play', 'Scoring']",4,[],0,[],0,,8
331,spam,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,0,0,32,"['has', 'now', 'or']",3,0,0,0,0,0,0,0,0,2,0,0,"['re-sub', 'weekly', 'msg', 'free']",4,[],0,"['Tone', 'Club', 'subs', 'reply', 'MONOC', 'monos', 'POLYC', 'polys', '@', 'week', 'Txt', 'STOP', 'stop', 'Stream']",14,"['has', 'expired']",2,[],0,[],0,,21
332,spam,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,1,0,28,"['are', 'to', 'that', 'you', 'have', 'won', 'a', 'from', 'only']",9,0,0,0,0,0,0,0,0,1,0,0,[],0,[],0,"['XMAS', 'Prize', 'draws', 'U.', 'Todays', 'draw', '£2000', 'prize', 'GUARANTEED', 'land', 'line']",11,"['are', 'trying', 'contact', 'shows', 'have', 'won', 'Call', 'Valid']",8,[],0,[],0,,17
333,spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,2,0,22,"['only', 'in', 'to', 'is', 'now', 'in', 'the', 'to', 'now']",9,0,0,0,0,0,0,0,1,0,0,0,"['only', 'exciting']",2,['YES'],1,"['place', 'town', 'adult', 'singles', 'UK', 'Txt', 'CHAT']",7,"['meet', 'is']",2,[],0,[],0,,8
334,spam,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",1,0,27,"['has', 'our', 'and', 'your', 'you', 'out', 'who', 'it', 'is', 'from', 'a']",11,0,0,0,0,0,0,0,0,0,0,0,"['call', 'landline']",2,[],0,"['Someone', 'service', 'phone', 'becausethey', 'fancy', 'PoBox1', 'W14RG']",7,"['has', 'contacted', 'dating', 'entered', 'find', 'is']",6,['who'],1,['who'],1,,17
335,spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),2,0,33,"['me', 'and', 'have', 'a', 'a', 'with', 'a', 'about', 'we']",9,0,0,0,0,0,0,0,0,1,0,0,"['dont', 'u', 'nasty', 'rude', 'sexy', 'slo', 'hard']",7,[],0,"['Babe', 'U', 'baby', 'Im', 'thing', 'filthyguys', 'Fancy', 'time', 'bitch', 'Txt', 'XXX', 'SLO']",12,"['want', 'have', 'go']",3,[],0,[],0,,2
336,spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1,0,28,"['do', 'and', 'do', 'me', 'to', 'now', 'and', 'each', 'other', 'or', 'over']",11,0,0,0,0,0,0,0,2,0,0,0,"['u', 'u', 'other']",3,[],0,"['CHAT', 'rcvd', 'HG/Suite342/2Lands/Row/W1J6HL', 'LDN', 'years']",5,"['do', 'know', 'do', 'know', 'Send', 'let', 'find']",7,[],0,[],0,,16
337,spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,0,0,22,"['your', 'with', 'no']",3,0,0,0,0,0,0,0,1,2,0,0,"['inclusive', 'gotto', 'extra']",3,[],0,"['SMS', 'SERVICES', 'text', 'credits', 'www.comuk.net', 'login', 'unsubscribe', 'STOP', 'charge', 'help', 'comuk.220cm2']",11,['pls'],1,[],0,[],0,,18
338,spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,2,0,27,"['over', 'in', 'our', 'and', 'your', 'on', 'the', 'of', 'a', 'to', 'now']",11,0,0,0,0,0,0,0,0,1,0,0,[],0,[],0,"['Valentines', 'Day', 'Special', 'Win', '£1000', 'quiz', 'partner', 'trip', 'lifetime', 'Send', 'GO', 'rcvd']",12,"['take', 'CustCare:08718720201']",2,[],0,[],0,,23
339,spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,0,1,30,"['who', 'am', 'is', 'the', 'a', 'all', 'for', 'your', 'to', 'be', 'your']",11,0,0,0,0,0,0,0,0,1,0,0,"['first', 'web']",2,[],0,"['Guess', 'time', 'page', 'WWW.ASJESUS.COM', 'opinions', 'friend']",6,"['am', 'is', 'created', 'read', 'wrote', ""'m"", 'waiting', 'want', 'be']",9,['who'],1,['who'],1,,2
340,spam,"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",0,0,18,"['to', 'to']",2,0,0,0,0,0,0,0,2,0,1,0,"['ur', '£250', 'www.music-trivia.net']",3,[],0,"['chance', 'cash', 'wk', 'TXT', 'PLAY', 'T', 'C', 'custcare']",8,['win'],1,[],0,[],0,,23
341,spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",4,0,27,"['of', 'to', 'now']",3,0,0,0,0,0,0,0,1,1,1,0,"['Final', 'ur']",2,[],0,"['Chance', 'Claim', '£150', 'worth', 'discount', 'vouchers', 'today', 'Text', 'YES', 'SavaMob', 'member', 'offers', 'T', 'Cs', 'SavaMob', 'POBOX84', 'M263UZ', '£3.00', 'Subs']",19,[],0,[],0,[],0,,18
342,spam,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",0,0,22,"['up', 'with', 'a', 'of', 'a', 'to']",6,0,0,0,0,0,0,0,2,0,0,0,['ur'],1,[],0,"['Sppok', 'mob', 'Halloween', 'collection', 'nokia', 'logo', 'pic', 'message', 'FREE', 'eerie', 'tone', 'CARD', 'SPOOK']",13,"['txt', '8007']",2,[],0,[],0,,4
343,spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",1,0,27,"['from', 'or']",2,0,0,0,0,0,0,0,0,2,1,0,"['complementary', '*']",2,[],0,"['Urgent', 'landline', 'Tenerife', 'Holiday', 'cash', 'await', 'collection', 'SAE', 'T', 'Cs', 'PO', 'Box', 'WA14', 'Sender', 'Hol', 'Offer']",16,"['call', '£10,000']",2,[],0,[],0,,26
344,spam,WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,2,0,24,"['a', 'you', 'been', 'to', 'a', 'only']",6,0,0,0,0,0,0,0,1,0,0,1,"['£900', 'Valid']",2,[],0,"['WINNER', 'network', 'customer', 'reward', 'call', 'hours']",6,"['valued', 'hvae', 'been', 'selected', 'receive', 'collect', 'ACL03530150PM']",7,[],0,[],0,,24
345,spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,0,0,32,"['have', 'won', 'a', 'a', 'is', 'what', 'when', 'our', 'to', 'now']",10,0,0,0,0,0,0,0,1,1,0,0,"['nokia', 'free', 'u', 'FREE']",4,[],0,"['U', 'digital', 'camera', 'get', 'u', 'auction', 'part', 'NOKIA']",8,"['have', 'won', 'is', 'win', 'take', 'send', 'POBOX114/14TCR/W1']",7,['what'],1,['what'],1,,17
346,spam,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,0,0,18,"['into', 'our', 'just', 'the', 'to']",5,0,0,0,0,0,0,0,2,1,0,0,"['FREE', '£250', 'weekly']",3,[],0,"['entry', 'comp', 'word', 'WIN', 'NOW', 'T', 'C', 'www.txttowin.co.uk']",8,['send'],1,[],0,[],0,,10
347,spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",0,0,11,"['more', 'and', 'from']",3,0,0,0,0,0,0,0,1,0,0,0,['more'],1,[],0,"['Text82228', '>', '>', 'Get', 'ringtones', 'logos', 'games', 'www.txt82228.com', 'Questions', 'info', '@', 'txt82228.co.uk']",12,[],0,[],0,[],0,,15
348,spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",1,1,24,"['have', 'been', 'a', 'just', 'to', 'your', 'out']",7,0,0,0,0,0,0,0,0,0,0,0,['quizclub'],1,[],0,"['FreeMSG', 'FREE', 'mini', 'DIGITAL', 'CAMERA', 'SNAP', 'prize', 'Opt', 'SP', 'RWM', 'Ph:08704050406']",11,"['have', 'been', 'awarded', 'reply', 'collect', 'Stop']",6,[],0,[],0,,19
349,spam,This message is brought to you by GMW Ltd. and is not connected to the,0,0,15,"['is', 'to', 'you', 'by', 'and', 'is', 'not', 'to', 'the']",9,0,0,0,0,0,0,0,0,0,0,0,[],0,[],0,"['message', 'GMW', 'Ltd.']",3,"['is', 'brought', 'is', 'connected']",4,[],0,[],0,,0
350,spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",1,0,26,"['yours', 'now']",2,0,0,0,0,0,0,0,0,1,0,0,"['mobile', 'wid', 'ur', 'java', 'noline']",5,[],0,"['Congrats', 'Videophones', 'R', 'yours', 'mates', 'games', 'Dload', 'polypH', 'music', 'rentl', 'bx420', 'ip4']",12,"['call', 'play']",2,[],0,[],0,,21
351,spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,1,0,30,"['will', 'be', 'to', 'you', 'is', 'not', 'for', 'the', 'to', 'the']",10,0,0,0,0,0,0,0,1,1,0,0,"['next', 'amazing', 'next']",3,[],0,"['xxx', 'PICSFREE1', 'video', 'vid', 'text', 'keyword', 'PICSFREE1', 'video']",8,"['be', 'sent', 'enjoy', 'is', 'get']",5,[],0,[],0,,3
352,spam,U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.,0,0,25,"['are', 'to', 'the', 'in', 'the', 'for', 'until', 'you', 'to']",9,0,0,0,0,0,0,0,0,1,0,0,"['best', 'Mobile', 'ten']",3,[],0,"['U', 'Content', 'Service', 'UK', '£3', 'days', 'STOP']",7,"['are', 'subscribed', 'send']",3,[],0,[],0,,17
353,spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each",4,0,27,"['out', 'about', 'your', 'now', 'to', 'only', 'each']",7,0,0,0,0,0,0,0,0,0,1,0,['Free'],1,[],0,"['FREE', 'TAROT', 'TEXTS', 'Find', 'love', 'life', 'FOR', 'FREE', 'Text', 'CHANCE', 'Msgs', '£1.50']",12,['TRY'],1,[],0,[],0,,13
354,spam,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,2,0,25,"['the', 'and', 'can', 'have', 'up', 'and', 'the', 'to', 'now']",9,0,0,0,0,0,0,0,0,1,0,0,['horniest'],1,[],0,"['UK', 'Dogging', 'service', 'u', 'sex', 'instructions', 'Txt', 'ENTRY', 'Nyt.EC2A.3LP.msg']",9,"['Join', 'have', 'sign', 'follow', '@']",5,[],0,[],0,,11
